subj_idx,species,coh,rt,response,subjectID
8,rat,0.7,0.707514,1,381
8,rat,0.9,0.777471,1,381
8,rat,0.7,0.777454,1,381
8,rat,0.7,0.737494,1,381
8,rat,0.7,0.607515,0,381
8,rat,0.7,0.537504,0,381
8,rat,0.7,0.827498,1,381
8,rat,0.8,0.797483,1,381
8,rat,1,0.617621,1,381
8,rat,0.9,0.767519,0,381
8,rat,0.6,0.977439,1,381
8,rat,0.8,0.897525,1,381
8,rat,0.9,0.717477,1,381
8,rat,0.7,0.597515,1,381
8,rat,0.6,1.137448,0,381
8,rat,0.7,0.777543,0,381
8,rat,1,0.74748,1,381
8,rat,0.9,1.567483,1,381
8,rat,0.8,0.797564,1,381
8,rat,0.8,0.977536,1,381
8,rat,1,0.787369,1,381
8,rat,0.8,0.767436,1,381
8,rat,0.9,0.89753,0,381
8,rat,0.7,0.787488,0,381
8,rat,0.9,0.997482,1,381
8,rat,0.9,0.597501,0,381
8,rat,0.8,0.857542,1,381
8,rat,0.6,0.597576,1,381
8,rat,0.7,0.497413,0,381
8,rat,0.6,0.997373,0,381
8,rat,0.8,0.647431,0,381
8,rat,0.7,0.65753,1,381
8,rat,0.9,0.737521,0,381
8,rat,0.9,0.957501,1,381
8,rat,0.6,1.387619,0,381
8,rat,0.7,0.847499,1,381
8,rat,0.7,1.317445,0,381
8,rat,0.9,0.577449,1,381
8,rat,0.8,0.577458,0,381
8,rat,1,0.557473,1,381
8,rat,1,0.697572,0,381
8,rat,0.7,0.667477,0,381
8,rat,0.7,0.497539,1,381
8,rat,1,0.657385,1,381
8,rat,0.9,0.717522,1,381
8,rat,0.7,0.897467,1,381
8,rat,1,1.50751,1,381
8,rat,0.8,0.877368,1,381
8,rat,0.6,0.537483,1,381
8,rat,0.8,0.947489,0,381
8,rat,1,0.637538,1,381
8,rat,0.9,0.65756,1,381
8,rat,1,0.677556,1,381
8,rat,0.6,1.127419,1,381
8,rat,0.9,0.977464,1,381
8,rat,0.9,0.717488,1,381
8,rat,0.6,0.937483,1,381
8,rat,0.7,0.617608,1,381
